ID,Title,Author,State,Source Branch,Destination Branch,Created On,Updated On,Link
29,PR-3861 Santa Clara Data Export for Avatar,Michael Walkley,MERGED,feature/PR-3861_SCAvatarExporter,develop,2022-05-03T22:07:24.373434+00:00,2022-05-12T23:18:18.332249+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/29
28,Sync develop with master,Max Hampton,MERGED,master,develop,2022-04-01T06:56:34.503116+00:00,2022-04-01T06:57:13.752702+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/28
27,Update query to bring up to date with new properties comparable to v2 ServiceNote queries,Max Hampton,MERGED,release/sprint_130,master,2022-03-31T22:26:23.456749+00:00,2022-04-01T06:54:51.025284+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/27
26,Update query to bring up to date with new properties comparable to v2 ServiceNote queries,Max Hampton,MERGED,bugfix/QA-9954-oa---cant-find-mhns-on-hold,develop,2022-03-28T19:38:47.949308+00:00,2022-03-30T20:09:36.034201+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/26
25,Release/sprint 129,Greg Stone,MERGED,release/sprint_129,master,2022-03-18T18:22:53.637538+00:00,2022-03-23T04:45:34.663965+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/25
23,PR-3820 V1 DB Transaction Cleanup,Greg Stone,MERGED,feature/PR-3820_OLA_DB_Transaction_Cleanup,develop,2022-02-16T21:07:27.066224+00:00,2022-03-18T16:16:34.798627+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/23
24,PR-2981 vsPrint Synchronization,Greg Stone,MERGED,PR-2981_vsPrint_Synchronization,develop,2022-03-07T18:38:23.970461+00:00,2022-03-10T06:19:28.397047+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/24
19,Feature/PR-3810 Lincoln Deployment To SFTP Server,Judy Genensky,MERGED,feature/PR-3810_Lincoln_Deployment_To_SFTP_Server,develop,2022-02-10T22:27:58.277858+00:00,2022-02-23T19:15:16.975654+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/19
22,untrack web.config,Greg Stone,MERGED,hotfix/untrack_web-config,master,2022-02-15T17:35:07.872527+00:00,2022-02-15T17:35:54.583138+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/22
18,Release/sprint 127,Greg Stone,MERGED,release/sprint_127,master,2022-02-09T21:31:41.238059+00:00,2022-02-15T14:36:40.164959+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/18
21,release/sprint-127,Judy Genensky,MERGED,feature/PR-3803_New_Feature_V1_Functionality-New_MH_Note_Template_MHSA_Clinician,release/sprint_127,2022-02-14T20:20:46.218896+00:00,2022-02-14T20:26:41.724061+00:00,https://bitbucket.org/senecafoa/senecaonlinev1/pull-requests/21
